file,variable,missing_pct,gapfilled_pct,gapfilling_method,tier
met_insituHT_AU-Emr_2012-2013.nc,Wind,0.0,1.5,ERA-Interim,mild
met_insituHT_AU-Emr_2012-2013.nc,Qair,0.0,0.5,ERA-Interim,mild
met_insituHT_AU-Emr_2012-2013.nc,RH,0.0,0.4,ERA-Interim,mild
met_insituHT_AU-Emr_2012-2013.nc,CO2air,0.0,19.5,observed,medium
met_insituHT_AU-Fle_2023-2025.nc,Tair,0.0,0.4,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,SWdown,0.0,0.1,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,LWdown,0.0,0.1,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,VPD,0.0,0.8,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,PSurf,0.0,0.1,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,Rainf,0.0,4.0,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,Wind,0.0,0.5,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,Qair,0.0,0.8,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,RH,0.0,0.8,ERA-Interim,mild
met_insituHT_AU-Fle_2023-2025.nc,CO2air,0.0,3.7,observed,mild
met_insituHT_AU-Fog_2007-2007.nc,Tair,0.0,5.6,ERA-Interim,mild
met_insituHT_AU-Fog_2007-2007.nc,SWdown,0.0,5.3,ERA-Interim,mild
met_insituHT_AU-Fog_2007-2007.nc,LWdown,0.0,5.7,ERA-Interim,mild
met_insituHT_AU-Fog_2007-2007.nc,VPD,0.0,5.6,ERA-Interim,mild
met_insituHT_AU-Fog_2007-2007.nc,PSurf,0.0,5.6,ERA-Interim,mild
met_insituHT_AU-Fog_2007-2007.nc,Rainf,0.0,100.0,ERA-Interim,complete
met_insituHT_AU-Fog_2007-2007.nc,Wind,0.0,5.6,ERA-Interim,mild
met_insituHT_AU-Fog_2007-2007.nc,Qair,0.0,5.6,ERA-Interim,mild
met_insituHT_AU-Fog_2007-2007.nc,RH,0.0,5.6,ERA-Interim,mild
met_insituHT_AU-Fog_2007-2007.nc,CO2air,0.0,11.6,observed,medium
met_insituHT_AU-GWW_2013-2024.nc,Tair,0.0,4.1,ERA-Interim,mild
met_insituHT_AU-GWW_2013-2024.nc,SWdown,0.0,4.7,ERA-Interim,mild
met_insituHT_AU-GWW_2013-2024.nc,LWdown,0.0,8.2,ERA-Interim,mild
met_insituHT_AU-GWW_2013-2024.nc,VPD,0.0,4.1,ERA-Interim,mild
met_insituHT_AU-GWW_2013-2024.nc,PSurf,0.0,8.0,ERA-Interim,mild
